run; test_dataset; aAcc; mIoU; mAcc
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,4; acdc_rain; 87,6700; 44,8900; 62,0600
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,4; acdc_snow; 86,1800; 47,1000; 58,5100
train_mask2former_bw_seed_7_depth_5_channel_3_sparse_percent_based_0,4; acdc_fog; 89,4000; 61,0300; 74,7700
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_night; 50,5700; 22,3300; 33,9900
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,9; dark_zurich; 49,1300; 21,1200; 35,6000
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,9; cityscapes; 94,4400; 69,4400; 81,4500
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_rain; 87,5300; 45,8900; 61,1500
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_snow; 83,0600; 45,7800; 59,0300
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_fog; 88,4400; 54,8200; 68,2400
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,8; acdc_night; 55,4100; 24,9700; 38,3000
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,8; dark_zurich; 52,2700; 21,7500; 36,7000
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,8; cityscapes; 95,0600; 71,1600; 83,3700
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,8; acdc_rain; 88,8100; 47,5800; 62,5100
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,8; acdc_snow; 84,2100; 48,7900; 61,0200
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,8; acdc_fog; 89,7000; 57,5000; 71,9300
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,7; acdc_night; 57,8400; 25,2400; 38,4600
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,7; dark_zurich; 54,8600; 23,5300; 37,2100
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,7; cityscapes; 95,3100; 70,7600; 82,4200
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,7; acdc_rain; 88,6900; 47,9900; 63,6500
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,7; acdc_snow; 84,1800; 50,8300; 63,2800
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,7; acdc_fog; 91,3800; 64,3700; 75,7800
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,5; acdc_night; 58,7400; 24,5300; 37,9300
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,5; dark_zurich; 57,7200; 24,5200; 36,7200
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,5; cityscapes; 95,6400; 73,9800; 84,8700
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,5; acdc_rain; 89,1500; 49,2000; 65,9600
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,5; acdc_snow; 86,1900; 52,5200; 64,1000
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,5; acdc_fog; 92,5200; 69,2700; 79,5300
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,6; acdc_night; 56,9600; 24,7900; 37,9300
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,6; dark_zurich; 54,8700; 24,2100; 37,1400
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,6; cityscapes; 95,4500; 74,4300; 85,5000
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,6; acdc_rain; 90,4100; 52,7300; 66,1400
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,6; acdc_snow; 86,5300; 53,7800; 65,0900
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,6; acdc_fog; 92,7100; 65,2100; 77,1400
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,4; acdc_night; 59,7500; 22,6600; 41,1100
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,4; dark_zurich; 56,3800; 20,1700; 37,1100
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,4; cityscapes; 95,5900; 73,0600; 83,9000
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,4; acdc_rain; 85,8800; 48,1000; 67,2900
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,4; acdc_snow; 83,6800; 48,5200; 61,3300
train_mask2former_co_seed_25_depth_5_channel_3_sparse_percent_based_0,4; acdc_fog; 87,4600; 57,9900; 73,1300
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,9; acdc_night; 53,5400; 24,1100; 38,6600
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,9; dark_zurich; 50,6800; 22,6100; 36,5500
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,9; cityscapes; 94,4100; 68,3700; 80,1100
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,9; acdc_rain; 80,9600; 40,6500; 54,8400
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,9; acdc_snow; 79,3400; 44,7000; 54,9700
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,9; acdc_fog; 84,4200; 51,3400; 67,1900
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,4; acdc_night; 57,9800; 22,7300; 38,1700
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,4; dark_zurich; 54,1900; 20,1800; 35,0700
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,4; cityscapes; 95,6000; 74,4600; 85,4300
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,4; acdc_rain; 88,3000; 46,2600; 61,4500
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,4; acdc_snow; 86,1700; 52,2400; 63,8400
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,4; acdc_fog; 92,0300; 62,6000; 77,0700
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,5; acdc_night; 61,4900; 25,7900; 41,7500
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,5; dark_zurich; 59,5400; 24,9300; 39,2100
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,5; cityscapes; 95,4700; 72,8400; 84,1500
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,5; acdc_rain; 87,3400; 45,7600; 62,6400
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,5; acdc_snow; 83,6700; 46,5400; 59,3200
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,5; acdc_fog; 91,2500; 61,8500; 76,7800
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,7; acdc_night; 57,9600; 25,0600; 41,3900
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,7; dark_zurich; 55,5000; 23,4700; 38,2000
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,7; cityscapes; 95,3800; 73,0700; 85,3300
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,7; acdc_rain; 88,7300; 48,8700; 65,8400
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,7; acdc_snow; 86,7700; 53,9200; 66,0600
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,7; acdc_fog; 91,3600; 65,0400; 78,1400
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,6; acdc_night; 59,2400; 24,3100; 40,6000
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,6; dark_zurich; 56,5000; 22,6400; 37,6200
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,6; cityscapes; 95,5300; 72,7800; 84,2300
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,6; acdc_rain; 87,3700; 47,1400; 64,7400
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,6; acdc_snow; 82,8800; 46,2800; 60,0500
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,6; acdc_fog; 90,1700; 57,1800; 69,1000
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,8; acdc_night; 51,5600; 24,9200; 37,6900
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,8; dark_zurich; 50,4500; 23,9800; 36,7400
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,8; cityscapes; 95,2500; 71,5100; 83,1200
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,8; acdc_rain; 85,8000; 44,7900; 61,5100
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,8; acdc_snow; 80,0600; 48,5400; 61,2600
train_mask2former_co_seed_42_depth_5_channel_3_sparse_percent_based_0,8; acdc_fog; 87,4200; 57,4600; 71,1000
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,8; acdc_night; 54,6400; 24,9400; 36,1200
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,8; dark_zurich; 52,1800; 23,1600; 36,1700
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,8; cityscapes; 95,1100; 70,5800; 82,0800
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,8; acdc_rain; 86,1900; 49,6800; 66,3200
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,8; acdc_snow; 84,1300; 49,8500; 60,9000
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,8; acdc_fog; 87,4900; 60,8700; 72,8900
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,6; acdc_night; 56,5300; 25,3400; 39,0300
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,6; dark_zurich; 53,0800; 22,8600; 36,9900
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,6; cityscapes; 95,5800; 75,0100; 86,1700
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,6; acdc_rain; 87,7700; 46,0700; 63,6500
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,6; acdc_snow; 84,3300; 51,4700; 64,9700
train_mask2former_co_seed_7_depth_5_channel_3_sparse_percent_based_0,6; acdc_fog; 92,4300; 65,9700; 80,4200
