run; test_dataset; aAcc; mIoU; mAcc
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_rain; 80,8900; 35,7200; 46,3000
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_snow; 73,2900; 31,6000; 42,5200
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,9; acdc_fog; 80,9000; 43,8200; 55,2000
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,8; acdc_night; 58,6700; 21,1200; 34,2000
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,8; dark_zurich; 55,0800; 19,3000; 33,7600
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,8; cityscapes; 94,2200; 64,9500; 75,2400
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,8; acdc_rain; 81,5700; 35,9700; 46,2100
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,8; acdc_snow; 78,7400; 34,2000; 45,3500
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,8; acdc_fog; 84,6500; 48,6100; 57,5500
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,7; acdc_night; 56,9700; 18,1400; 30,9300
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,7; dark_zurich; 53,4700; 17,1000; 30,9800
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,7; cityscapes; 94,7000; 65,7500; 75,6500
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,7; acdc_rain; 84,7600; 37,4200; 50,4300
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,7; acdc_snow; 77,8800; 32,6800; 44,9800
train_deeplabv3plus_co_seed_25_depth_5_channel_3_sparse_percent_based_0,7; acdc_fog; 87,8400; 48,3100; 59,7900
